Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","AwsBedrockLangchainCodePipeline/ValidateProjectRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","AwsBedrockLangchainCodePipeline/ValidateProjectRole/DefaultPolicy/Resource","Suppressed","CodePipeline needs wildcard permissions to create change sets and execute changes","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
